"original_miRNA_id","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status","feature_family","primary_logFC","direction_retention_fraction","loo_min_logFC","loo_max_logFC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction"
"hsa-miR-548e-3p:hsa-mir-548e","hsa-miR-548e-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.108454944792077,0.868421052631579,-0.329708531399704,-0.0275131691292742,0.221253586607627,0.018758426546718,0
"hsa-miR-503-5p:hsa-mir-503","hsa-miR-503-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.254469172910468,1,-0.381599617071004,-0.103538769559353,0.150930403351115,0.0228554295491148,0
"hsa-miR-942-5p:hsa-mir-942","hsa-miR-942-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.257012036069441,0.973684210526316,-0.555227387789307,-0.0253158798450365,0.298215351719865,0.0260789726072046,0
"hsa-miR-27b-5p:hsa-mir-27b","hsa-miR-27b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0100756366710763,0.842105263157895,-0.103188527981863,0.0677615782465148,0.0931128913107864,0.0121122231092532,0
"hsa-miR-216b-5p:hsa-mir-216b","hsa-miR-216b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.239692429509901,0.973684210526316,-0.431822896524969,0.0230973538595357,0.262789783369437,0.0181782977690989,0
"hsa-miR-369-3p:hsa-mir-369","hsa-miR-369-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.691783630074166,1,0.346513794343842,1.23043884846847,0.538655218394303,0.0366725206627951,0
"hsa-miR-139-3p:hsa-mir-139","hsa-miR-139-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0666651373376409,0.657894736842105,-0.410983634452079,0.0769254320706683,0.344318497114438,0.0193186436515081,0
"hsa-miR-193a-5p:hsa-mir-193a","hsa-miR-193a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.360239406798128,1,0.199601252816169,0.540489289587531,0.180249882789404,0.0196291173521888,0
"hsa-miR-502-3p:hsa-mir-502","hsa-miR-502-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.212805615377498,0.973684210526316,0.049023981764593,0.531032514848563,0.318226899471065,0.0230804608763121,0
"hsa-miR-29b-1-5p:hsa-mir-29b-1","hsa-miR-29b-1-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0305253977097449,0.710526315789474,-0.157911979183043,0.096805587745907,0.127386581473298,0.0212286822679451,0
"hsa-miR-487b-3p:hsa-mir-487b","hsa-miR-487b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.254285170496097,1,0.101847169893219,0.608426382240792,0.354141211744695,0.0286927036030277,0
"hsa-miR-204-5p:hsa-mir-204","hsa-miR-204-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0695535650323069,0.763157894736842,-0.0995017418230953,0.1822710625325,0.169055306855402,0.0258177984428615,0
"hsa-miR-221-3p:hsa-mir-221","hsa-miR-221-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.353737615825368,1,0.119866488861843,0.610083698334446,0.256346082509078,0.0268806844941736,0
"hsa-miR-21-3p:hsa-mir-21","hsa-miR-21-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.337495062567405,0.947368421052632,-0.215646588056962,1.00161506717611,0.66412000460871,0.0595468630078751,0
"hsa-miR-452-5p:hsa-mir-452","hsa-miR-452-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.164000976361499,1,0.0869248726987309,0.29025608034123,0.126255103979731,0.027096227236405,0
"hsa-miR-370-3p:hsa-mir-370","hsa-miR-370-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.359711200412262,1,0.236460580077789,0.483293073339015,0.123581872926753,0.0185453096176445,0
"hsa-miR-193b-5p:hsa-mir-193b","hsa-miR-193b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0710051077730958,0.763157894736842,-0.0487792073463453,0.194347209839273,0.123342102066177,0.0297583347147789,0
"hsa-miR-30b-3p:hsa-mir-30b","hsa-miR-30b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.2509731982022,1,0.149503516982015,0.361556842488211,0.110583644286011,0.0103594837695888,0
"hsa-miR-210-3p:hsa-mir-210","hsa-miR-210-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.967330822857046,1,0.620540821805891,1.46621335700387,0.49888253414682,0.031798167522227,0
"hsa-miR-185-5p:hsa-mir-185","hsa-miR-185-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.22956769344328,1,-0.528787363991777,-0.117373277519983,0.299219670548497,0.0246271251491117,0
"hsa-miR-223-5p:hsa-mir-223","hsa-miR-223-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.862509373166446,1,-1.24311141795467,-0.600586358115685,0.380602044788223,0.0337358853525417,0
"hsa-miR-1307-3p:hsa-mir-1307","hsa-miR-1307-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.421813695031753,1,0.245811702486482,0.628158285967639,0.206344590935885,0.0204708042495873,0
"hsa-miR-4647:hsa-mir-4647","hsa-miR-4647","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.177894623679704,1,0.0806180274499364,0.309967182570967,0.132072558891263,0.0242483271672906,0
"hsa-miR-532-5p:hsa-mir-532","hsa-miR-532-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.322744635119004,0.973684210526316,-0.14620037065854,0.973126197462003,0.650381562343,0.0389768717184414,0
"hsa-miR-622:hsa-mir-622","hsa-miR-622","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",1.07059650076206,1,0.71546002278311,1.84243001134219,0.771833510580128,0.0462161401949009,0
"hsa-miR-26a-2-3p:hsa-mir-26a-2","hsa-miR-26a-2-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.201042437966611,1,0.0617776895602297,0.394491957642421,0.19344951967581,0.0196564972353752,0
"hsa-miR-150-3p:hsa-mir-150","hsa-miR-150-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.375946927939321,1,-0.482408284418248,-0.248916072318909,0.127030855620412,0.0236423150816121,0
"hsa-miR-4286:hsa-mir-4286","hsa-miR-4286","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.549222775674099,1,0.466992341162144,0.633919782578195,0.0846970069040959,0.0186571614643169,0
"hsa-miR-328-3p:hsa-mir-328","hsa-miR-328-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0963270643409969,0.868421052631579,-0.0682262379322209,0.212669408881843,0.164553302273218,0.025302766995103,0
"hsa-miR-23a-5p:hsa-mir-23a","hsa-miR-23a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.22207332646483,0.973684210526316,-0.121830933449667,0.643442096207938,0.421368769743109,0.0363327863556458,0
"hsa-miR-598-3p:hsa-mir-598","hsa-miR-598-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.300054510640339,1,-0.429565368316186,-0.18550946648436,0.129510857675847,0.0125922993704011,0
"hsa-miR-18a-5p:hsa-mir-18a","hsa-miR-18a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.131272031395007,0.921052631578947,-0.131760082480999,0.367229324283913,0.263032113876005,0.0201731310792361,0
"hsa-miR-484:hsa-mir-484","hsa-miR-484","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0056628186392243,0.842105263157895,-0.232716048785777,0.0585951251885478,0.227053230146552,0.0136087521565621,0
"hsa-miR-628-5p:hsa-mir-628","hsa-miR-628-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.264030655664181,1,-0.709680090045357,-0.0755261185570131,0.445649434381176,0.0290401572019706,0
"hsa-miR-142-3p:hsa-mir-142","hsa-miR-142-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.941133097082108,1,-1.28132355468111,-0.238444454770286,0.702688642311822,0.0373296145065246,0
"hsa-miR-6803-3p:hsa-mir-6803","hsa-miR-6803-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.16611852153137,0.947368421052632,-0.514870184068725,-0.0241682692661428,0.348751662537355,0.0199615562181802,0
"hsa-miR-329-3p:hsa-mir-329-1","hsa-miR-329-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.200580577623864,1,0.0805991978993952,0.374372165675835,0.173791588051971,0.0119440286066956,0
"hsa-miR-7-1-3p:hsa-mir-7-1","hsa-miR-7-1-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.201568647523042,1,-0.308494854665216,-0.0670017550840834,0.134566892438958,0.0377371402932159,0
"hsa-miR-708-5p:hsa-mir-708","hsa-miR-708-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.53693315369002,1,-0.902640473640388,-0.386819011248931,0.365707319950368,0.0214299870025945,0
"hsa-miR-501-3p:hsa-mir-501","hsa-miR-501-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0653396270068188,0.657894736842105,-0.17217332322808,0.340338572900892,0.274998945894073,0.0169973503032874,0
"hsa-miR-30b-5p:hsa-mir-30b","hsa-miR-30b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0976458120656351,0.842105263157895,-0.183343326169439,0.484030683542768,0.386384871477133,0.021231016979992,0
"hsa-miR-6511b-3p:hsa-mir-6511b-1","hsa-miR-6511b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0614646909697166,0.526315789473684,-0.42182259770069,0.101632517664851,0.360357906730973,0.0283609635164165,0
