"ensembl_gene_id","primary_log2FC","primary_FDR","EXCLUDE_GSM4676447_log2FC","EXCLUDE_GSM4676447_FDR","EXCLUDE_GSM4676457_log2FC","EXCLUDE_GSM4676457_FDR","EXCLUDE_BOTH_WARNING_FILES_log2FC","EXCLUDE_BOTH_WARNING_FILES_FDR","gene_symbol","gene_biotype","mapping_status"
"ENSG00000147526",0.108129487070839,0.732040993907206,0.0144351865213412,0.985587698676792,0.108030650439635,0.743580118832105,0.0230702201894917,0.972224714497659,"TACC1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000127125",0.0271640421640055,0.91667302368817,0.0773577185397624,0.839397123460788,0.0158348754830274,0.953787051559044,0.0829284241945941,0.793988468783398,"PPCS","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000095539",0.561895215337895,0.440667826568057,0.600890003197892,0.641979085825498,0.45942854898515,0.546967725404061,0.4983348241202,0.674624270616348,"SEMA4G","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000018408",-0.114824113975548,0.808992839153974,-0.192336455299206,0.826853345845441,-0.0231554509383951,0.967984928342777,-0.0591681536659119,0.936383234378234,"WWTR1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000139044",0.154618562266789,0.733812183976826,0.242326860582202,0.754243339963117,0.139270133201513,0.774574492035445,0.239568776362959,0.729389789999435,"B4GALNT3","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000113441",-0.0420827904633082,0.874915693366046,0.00105809026381814,0.999235494974982,-0.0175328292387441,0.953787051559044,0.0512791609970943,0.890872174139607,"LNPEP","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000213860",-0.189325477087184,0.429020510636056,-0.125695448140762,0.79593934709994,-0.153927588673928,0.544715249397751,-0.0678693767986835,0.872564685389282,"RPL21P75","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000201279",-0.475277306689199,0.419728407261389,-0.43920554205908,0.687733056517713,-0.457739274580149,0.474626968140983,-0.422255915555401,0.658402347838913,"AC060812.2","misc_RNA","MAPPED_EXACT_VERSION"
"ENSG00000121966",-0.716451897287234,0.24752789680505,-0.49995356010255,0.640700660854582,-0.668416212014253,0.314414115803297,-0.419134247467877,0.678347602082554,"CXCR4","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000143418",0.467803884264453,0.0620352094720121,0.411693502943537,0.330477395050347,0.422870047208894,0.0888848124504118,0.387104598884213,0.261556205147782,"CERS2","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000260836",-0.0482617520841726,0.834031718568992,-0.0476499671124383,0.918281776600397,-0.0205018865938184,0.93946399765943,0.00440450413416977,0.99408724193922,"AC245033.1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000117676",0.17319031643888,0.650557416301341,0.188190476052788,0.795165602360573,0.106148689177738,0.798792341792288,0.121490098914076,0.851566657500952,"RPS6KA1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000147400",0.0100642862516138,0.974795147967104,0.0218714168245242,0.973835923837181,0.00984537464465259,0.976380314317804,0.0404605471573659,0.919812747000213,"CETN2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000164715",0.317469504681252,0.24752789680505,0.167360986963554,0.727651649267447,0.25323541458454,0.375809621257586,0.122052276401456,0.785877881646986,"LMTK2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000172336",-0.0600401372874647,0.753765204976899,-0.0375028874912372,0.924095302350189,-0.0575904901017457,0.772784787074493,-0.0148948877098217,0.968377099243829,"POP7","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000163900",-0.220972878882348,0.325485868168967,-0.219285224325183,0.587865352504689,-0.242685850715721,0.32124079431345,-0.230957804674261,0.512444878783074,"TMEM41A","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000155189",-0.399539994624011,0.201943030183136,-0.353613623702753,0.518739839334001,-0.472811869493315,0.129153026776955,-0.421284322964648,0.33654919742372,"AGPAT5","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000102109",0.578805932645704,0.421536234641656,0.47142207635565,0.749595664706,0.507104405301905,0.499337759445334,0.413566342910711,0.747300462998165,"PCSK1N","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000124767",0.0435048477531005,0.865680653316703,0.0606764174043807,0.900625019411876,0.0395215083384012,0.881104932787465,0.0817337368521181,0.824555242067077,"GLO1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000230364",-0.201240141045788,0.304750582300057,-0.188790831152439,0.598564684939813,-0.206806036897915,0.32776771434637,-0.176178831343234,0.556321936039597,"RPL4P3","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000153561",0.131186671176636,0.703344386493754,0.0848872322346149,0.910238832431676,0.0974041672807238,0.796513058761827,0.0789804733692536,0.894295183521927,"RMND5A","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000099783",-0.112997713234626,0.357086077991858,-0.101620500345746,0.640700660854582,-0.119443851102323,0.362112596102361,-0.0888537051970609,0.656857246259639,"HNRNPM","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000226415",0.160491455911218,0.583449478735075,0.0494782890158241,0.946211519199452,0.0997426738630444,0.756385395794876,0.00417381110685876,0.995847288028441,"TPI1P1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000115944",0.183091709115121,0.268240263837091,0.121400677028328,0.65557431795238,0.178257929801893,0.301254562241547,0.146892179968852,0.54274617835663,"COX7A2L","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000153179",0.0163218465298757,0.974386138973335,0.0054247932845931,0.994414145410808,-0.0119643616881485,0.982006229071618,0.00171969856962797,0.997941914854082,"RASSF3","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000176597",0.387451937740937,0.495455148837228,0.345710472385601,0.747103969125544,0.340294162163873,0.570054744839259,0.319825056722083,0.735580848491426,"B3GNT5","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000138764",0.153095798349782,0.825219669591358,0.0920511152650638,0.955362854455033,0.0426223832353937,0.960181601853708,-0.0136393962620635,0.994092678088525,"CCNG2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000072364",-0.0559544689956789,0.86621427635614,-0.0817572380627285,0.897918138668851,-0.0974040849884245,0.757475825410096,-0.105565657483035,0.827448092304396,"AFF4","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000130958",0.289809865098158,0.321217375883497,0.215129799932931,0.682618147707345,0.212031554398091,0.481652839190305,0.144892330848981,0.765396697176808,"SLC35D2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000105127",-0.0806345964254351,0.522448484234665,-0.0827295207742861,0.728618671310277,-0.0677336778853327,0.610345874615181,-0.0492590426189932,0.821038381843041,"AKAP8","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000265936",-0.0404730558703278,0.905974787588002,-0.0106865104863193,0.986833352135067,-0.0306373901761495,0.930296129127393,0.0207225501816984,0.97222121308242,"AC091042.1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000198900",-0.0847305884501854,0.874072646836163,-0.140412199454532,0.892165175133576,-0.153346156883041,0.758456840032008,-0.210967744413305,0.780933028158057,"TOP1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000083720",0.0905147834124184,0.800112726163917,0.142558137671519,0.821816321298735,0.0560083978832018,0.887518181401372,0.117341540319325,0.827448092304396,"OXCT1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000113460",-0.240846201645529,0.333429291650148,-0.222670599712321,0.626218434052095,-0.237074415557488,0.377412097325359,-0.204796271948617,0.61332343319018,"BRIX1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000277972",0.145476992080042,0.674423350039702,0.241313469662397,0.647503466348131,0.0919134603328007,0.802355740557729,0.188823662712734,0.709455263847367,"CISD3","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000153786",0.0854090288578436,0.634942457223729,0.0873383086916097,0.804333324449656,0.0863130209890377,0.647635791371016,0.106912599695249,0.710721152621426,"ZDHHC7","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000106266",-0.0645301957779841,0.833825879834752,-0.0930152626024496,0.880078460868366,-0.123342413138246,0.664332427797053,-0.14710035824512,0.735580848491426,"SNX8","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000247315",-0.165670878238137,0.395430714233925,-0.193370318135918,0.590471787930686,-0.164228853924901,0.437723499558016,-0.175770285518547,0.567966753709661,"ZCCHC3","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000211645",1.05659116710491,0.341401631565081,0.373052898419851,0.891563472434204,0.821724003875613,0.499293261979378,0.0558770448229938,0.984840983408725,"IGLV1-50","IG_V_gene","MAPPED_EXACT_VERSION"
"ENSG00000196924",0.484551028202954,0.364921684317203,0.306661047078209,0.78007326766316,0.572798519570445,0.297994067002821,0.446520540923089,0.563400741613127,"FLNA","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000236287",-0.13921862384265,0.502320060545952,-0.0835703634809873,0.848023314677903,-0.116401140077252,0.598112481334837,-0.0347750043126425,0.924860801748708,"ZBED5","protein_coding","MAPPED_EXACT_VERSION"
