"ensembl_gene_id","primary_log2FC","direction_retention_fraction","loo_min_log2FC","loo_max_log2FC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction","gene_symbol","gene_biotype","mapping_status"
"ENSG00000181061",0.205518349948377,1,0.139880703484363,0.249340604872674,0.065637646464014,0.0167615916594403,0,"HIGD1A","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000243063",0.57794954787508,1,0.0722643894120072,0.99225010075414,0.505685158463073,0.0703407517685412,0,"IGKV3-7","IG_V_gene","MAPPED_EXACT_VERSION"
"ENSG00000215030",-0.100130611713696,0.947368421052632,-0.196718383641225,-0.0226564896107418,0.096587771927529,0.0164771435578787,0,"RPL13P12","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000186010",0.0752003646229062,0.81578947368421,0.0109280266796283,0.194972253048224,0.119771888425318,0.0111838634385505,0,"NDUFA13","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000242299",-0.146088955337729,1,-0.239230120138294,-0.0721051995316317,0.0931411648005654,0.0162153457423964,0,"AC073861.1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000164687",-0.329550452298007,1,-0.487564944247787,-0.124075794980125,0.205474657317882,0.0340991728562029,0,"FABP5","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000108424",-0.0816740600481201,1,-0.147547384562234,-0.0515379518474516,0.0658733245141139,0.0089455107109724,0,"KPNB1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000065978",-0.0357179773247042,0.710526315789474,-0.0887165650363539,-0.0119194585505135,0.0529985877116498,0.00921114826352758,0,"YBX1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000136149",-0.0932133483662402,0.947368421052632,-0.185512017548285,-0.0395308875015611,0.0922986691820445,0.0185499660382908,0,"RPL13AP25","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000116459",-0.0646381930349111,0.947368421052632,-0.100092450110986,-0.0259951612991647,0.0386430317357464,0.013582137862534,0,"ATP5PB","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000232713",-0.121685002446893,1,-0.263336972178154,-0.0552707514903688,0.141651969731261,0.0177406955364416,0,"RPS12P3","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000226948",-0.119130609866492,1,-0.190579703662568,-0.0823064984609613,0.071449093796076,0.0115794252654665,0,"RPS4XP2","transcribed_processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000172809",-0.186999036367095,1,-0.278143059676601,-0.133137656650255,0.0911440233095061,0.0168901192209032,0,"RPL38","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000213885",-0.0876121376364393,0.973684210526316,-0.175004200359918,-0.0496268094863025,0.0873920627234783,0.0138499859260692,0,"RPL13AP7","transcribed_processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000232368",-0.0710509711098689,0.842105263157895,-0.263955666414887,0.0489824940736085,0.192904695305018,0.0135435966788552,0,"FTLP2","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000178429",-0.0869615889201833,1,-0.180896557635484,-0.0527594428278737,0.0939349687153008,0.0179346459714792,0,"RPS3AP5","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000001626",0.507610484545931,1,0.318955378829923,0.670024790082837,0.188655105716008,0.0268052895653956,0,"CFTR","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000137801",0.651436808860011,1,0.40826286456125,0.864929951846062,0.243173944298761,0.0338828215154517,0,"THBS1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000268173",-0.286756631448624,1,-0.400572338830801,-0.167979297051635,0.118777334396988,0.0197473995045989,0,"AC007192.1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000139329",0.224505129936172,1,0.0769605587260082,0.311498174205129,0.147544571210164,0.0210248928228503,0,"LUM","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000117450",-0.0552795900817829,0.921052631578947,-0.105077560788851,-0.0373120651081133,0.0497979707070684,0.011506330963035,0,"PRDX1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000173660",-0.120760112525741,1,-0.160542715854338,-0.0723772963482393,0.0483828161775022,0.0105177777683089,0,"UQCRH","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000279865",-0.0751311681013544,0.973684210526316,-0.181942830099186,-0.0470410784509519,0.106811661997832,0.0149623880782163,0,"AC006511.4","TEC","MAPPED_EXACT_VERSION"
"ENSG00000181617",-3.47335596280713,1,-4.34398283638827,-0.803843698749229,2.6695122640579,0.0734655456668714,0.0789473684210526,"FDCSP","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000126267",0.0685654943805677,0.578947368421053,0.0254314898429697,0.168565779401273,0.100000285020705,0.0173026079026808,0,"COX6B1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000183255",0.10341229898395,0.973684210526316,0.00808942352914682,0.144456500796503,0.0953228754548028,0.0174751991218474,0,"PTTG1IP","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000143167",1.08299447545967,1,0.854940145064094,1.51294291214903,0.429948436689367,0.026112546785735,0,"GPA33","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000173848",0.0568468788087573,0.5,-0.00417280576432336,0.130551370054086,0.0737044912453287,0.0178955692990322,0,"NET1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000105369",-0.671310416486827,1,-0.961745405367177,-0.303581404489912,0.367729011996915,0.0383799579694583,0,"CD79A","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000136167",-0.870346994258396,1,-1.10326155627461,-0.740483699448182,0.232914562016212,0.0202834076325222,0.0526315789473684,"LCP1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000006453",0.235938246666334,1,0.118013632718834,0.441356805780811,0.205418559114476,0.0284114587441316,0,"BAIAP2L1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000167642",0.348113962535961,1,0.269237414974054,0.446598264195251,0.09848430165929,0.0191679096043532,0,"SPINT2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000125166",-0.0975712964218401,1,-0.145773084297387,-0.0543481758838885,0.0482017878755472,0.0103517461636115,0,"GOT2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
