"ensembl_gene_id","gene_symbol","tested_transcript_n","gene_primary_log2FC","transcript_same_direction_fraction","transcript_log2FC_min","transcript_log2FC_max","max_absolute_transcript_log2FC","lead_transcript_id","lead_transcript_log2FC","any_transcript_FDR_lt_0_05","transcript_heterogeneity_warning","concordance_label"
"ENSG00000216657","GLRX3P2",1,-0.244789431808784,1,-0.260545413196046,-0.260545413196046,0.260545413196046,"ENST00000405027.1:processed_pseudogene:GLRX3P2-001",-0.260545413196046,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000176641","RNF152",1,0.264631820008055,1,0.218186258520258,0.218186258520258,0.218186258520258,"ENST00000312828.3:protein_coding:RNF152-001",0.218186258520258,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000167613","LAIR1",2,-0.300920350475119,1,-0.318117675218844,-0.313444046468102,0.318117675218844,"ENST00000391742.6:protein_coding:LAIR1-001",-0.318117675218844,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000050820","BCAR1",8,0.325330257066512,1,0.241547369407647,0.344748757058987,0.344748757058987,"ENST00000418647.7:protein_coding:BCAR1-005",0.344748757058987,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000167800","TBX10",1,0.725337251433124,1,0.434172748239067,0.434172748239067,0.434172748239067,"ENST00000335385.3:protein_coding:TBX10-001",0.434172748239067,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000227051","C14orf132",1,0.27478896078535,1,0.324415506405509,0.324415506405509,0.324415506405509,"ENST00000555004.1:lincRNA:C14orf132-001",0.324415506405509,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000235817","AL158214.1",1,-0.0878914781908688,1,-0.0928079609115427,-0.0928079609115427,0.0928079609115427,"ENST00000444423.2:processed_pseudogene:RP11-543E8.2-001",-0.0928079609115427,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000005882","PDK2",3,0.365606784509494,1,0.331759019173289,0.377637397449129,0.377637397449129,"ENST00000503176.5:protein_coding:PDK2-001",0.357318843805027,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000107077","KDM4C",2,0.16112508596016,1,0.113697160449645,0.173203527794519,0.173203527794519,"ENST00000428870.6:protein_coding:KDM4C-013",0.173203527794519,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000175581","MRPL48",8,-0.0204165279853999,0.5,-0.035604426422435,0.00544836772241411,0.035604426422435,"ENST00000543058.1:nonsense_mediated_decay:MRPL48-013",-0.035604426422435,FALSE,FALSE,"LOW_TRANSCRIPT_CONCORDANCE"
