"ensembl_gene_id","gene_symbol","log2_fold_change_no_zone","BH_FDR_no_zone","log2_fold_change_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"ENSG00000198719","DLL1",-0.162861201901946,0.36518328535822,0.185765022271439,0.609383381328318,FALSE,FALSE,TRUE
"ENSG00000198721","ECI2",0.721620458738106,0.0000805246736929368,0.116440177758157,0.672299222075953,TRUE,TRUE,FALSE
"ENSG00000198722","UNC13B",0.616946733690577,0.0000598727327774693,0.124125189230957,0.631996575767309,TRUE,TRUE,FALSE
"ENSG00000198727","MT-CYB",0.495848620515534,0.00383635869987396,0.0302756459395312,0.942012979670809,TRUE,TRUE,FALSE
"ENSG00000198729","PPP1R14C",-1.3652776051205,0.000256309310149849,-0.221686731045517,0.696938699815769,TRUE,TRUE,FALSE
"ENSG00000198730","CTR9",-0.077757877542396,0.331169229679693,-0.108033461082793,0.534170240402209,FALSE,FALSE,FALSE
"ENSG00000198736","MSRB1",-0.138324401066142,0.351172163719546,-0.110051448155124,0.738726068238165,FALSE,TRUE,FALSE
"ENSG00000198740","ZNF652",0.493283314203437,0.000172408588112046,0.311003101114303,0.206806006522763,TRUE,TRUE,FALSE
"ENSG00000198742","SMURF1",-0.129660539154041,0.312407313187748,0.251939668017965,0.301984357944239,FALSE,FALSE,TRUE
"ENSG00000198743","SLC5A3",-0.377256314723963,0.0142838111253743,-0.259387021826775,0.424156393301164,TRUE,TRUE,FALSE
"ENSG00000198744","MTCO3P12",0.527714721392679,0.00820354438720106,-0.0188954665773677,0.970756409619271,TRUE,TRUE,TRUE
"ENSG00000198746","GPATCH3",0.156068541847476,0.125459226088848,0.193889835513484,0.359627291176162,FALSE,FALSE,FALSE
"ENSG00000198752","CDC42BPB",-0.00692905830440942,0.96684121580658,0.3205360948273,0.231937523657473,FALSE,FALSE,TRUE
"ENSG00000198755","RPL10A",-0.219231545618827,0.0365672750336169,-0.0214565836745758,0.935456010154982,TRUE,TRUE,FALSE
"ENSG00000198758","EPS8L3",3.63679012130582,0.0000037405925521919,0.73179054408054,0.303960163718298,TRUE,TRUE,FALSE
"ENSG00000198763","MT-ND2",0.731366695377134,0.0022449191644121,0.00584734179352345,0.989309382042359,TRUE,TRUE,FALSE
"ENSG00000198771","RCSD1",-0.00333781734257739,0.990856044572796,-0.394981997999034,0.419728407261389,FALSE,FALSE,FALSE
"ENSG00000198783","ZNF830",-0.0822434052040053,0.43816514526644,-0.134097097752617,0.542245785850175,FALSE,FALSE,FALSE
"ENSG00000198786","MT-ND5",0.408549987065954,0.0335056040441101,0.0388117678922776,0.927029166826091,TRUE,TRUE,FALSE
"ENSG00000198788","MUC2",4.9617215056854,0.0000156372343256333,1.70344598536008,0.26359790719399,TRUE,TRUE,FALSE
"ENSG00000198791","CNOT7",-0.0157696802974396,0.856856707327795,-0.125841624666489,0.406675909087984,FALSE,FALSE,FALSE
"ENSG00000198792","TMEM184B",0.0324591410468618,0.79688796557808,0.0527226147737655,0.829384049771856,FALSE,FALSE,FALSE
"ENSG00000198793","MTOR",-0.00188436735330363,0.986664633383987,0.0478991375953736,0.82895813574903,FALSE,FALSE,TRUE
"ENSG00000198796","ALPK2",0.0333680814190048,0.953089568425071,-0.599934731433413,0.588195132080515,FALSE,FALSE,TRUE
"ENSG00000198799","LRIG2",0.0903113264442882,0.539503859091777,0.139226843918296,0.65358755906855,FALSE,FALSE,FALSE
"ENSG00000198804","MT-CO1",0.271395592089982,0.142225620829428,0.0540776230151028,0.894326661494123,FALSE,TRUE,FALSE
"ENSG00000198805","PNP",0.198208283453377,0.391201874689071,-0.165388827737809,0.750684476143277,FALSE,TRUE,TRUE
"ENSG00000198814","GK",0.518716229386861,0.0901001232254676,-0.191228660552315,0.754258118524005,FALSE,TRUE,TRUE
"ENSG00000198815","FOXJ3",0.2846219161645,0.00914353723575516,0.0480086926021826,0.834066663035194,TRUE,TRUE,FALSE
"ENSG00000198816","ZNF358",0.15896202204339,0.319401776729831,0.444491266209331,0.183382031384626,FALSE,FALSE,FALSE
"ENSG00000198818","SFT2D1",0.544046970661285,0.000345278122225043,-0.0123312727380933,0.971567223315716,TRUE,TRUE,TRUE
"ENSG00000198824","CHAMP1",0.27274036601825,0.0629345923401283,-0.0544402501672579,0.884679021780395,FALSE,TRUE,TRUE
"ENSG00000198826","ARHGAP11A",-0.109872827821486,0.721104147406591,-0.0330132315442269,0.968424800311391,FALSE,TRUE,FALSE
"ENSG00000198830","HMGN2",0.0128046676544321,0.921099355444131,0.0134836177802076,0.967589705211283,FALSE,FALSE,FALSE
"ENSG00000198832","SELENOM",-0.14401940198301,0.603809249612298,0.0788987371103851,0.898125611296804,FALSE,TRUE,TRUE
"ENSG00000198833","UBE2J1",0.596785896263203,0.0000929300462773684,0.155381092654878,0.545565424392107,TRUE,TRUE,FALSE
"ENSG00000198836","OPA1",0.25753259750766,0.028187070170453,0.0399540156011153,0.886966409679443,TRUE,TRUE,FALSE
"ENSG00000198837","DENND4B",1.13530430646651,0.0000115856787260046,0.325937648333751,0.38871754590549,TRUE,TRUE,FALSE
