"original_miRNA_id","normalized_miRNA_id","logFC_no_zone","BH_FDR_no_zone","logFC_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"hsa-miR-126-3p:hsa-mir-126","hsa-miR-126-3p",-0.349507708725092,0.285319709664847,-0.11765813160366,0.954302845955942,FALSE,TRUE,FALSE
"hsa-miR-126-5p:hsa-mir-126","hsa-miR-126-5p",-0.550360269014354,0.0646046369216678,-0.151643785085479,0.951185018782856,FALSE,TRUE,FALSE
"hsa-miR-1260b:hsa-mir-1260b","hsa-miR-1260b",-0.714180761986766,0.065992324957668,-0.231198593223082,0.951185018782856,FALSE,TRUE,FALSE
"hsa-miR-1262:hsa-mir-1262","hsa-miR-1262",0.199149050074125,0.729726778174633,0.27421348502145,0.951185018782856,FALSE,FALSE,FALSE
"hsa-miR-127-3p:hsa-mir-127","hsa-miR-127-3p",0.477106662857309,0.240125521322302,0.248481853642411,0.948810508224733,FALSE,TRUE,FALSE
"hsa-miR-127-5p:hsa-mir-127","hsa-miR-127-5p",-0.154697363607756,0.905352220992788,-0.406754460823712,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-1270:hsa-mir-1270","hsa-miR-1270",0.153361910688796,0.831659728856061,-0.0417714992308683,0.99698024720718,FALSE,TRUE,TRUE
"hsa-miR-1271-5p:hsa-mir-1271","hsa-miR-1271-5p",0.875884945065054,0.391358453868889,1.53930267536502,0.633528608313097,FALSE,FALSE,FALSE
"hsa-miR-1273h-3p:hsa-mir-1273h","hsa-miR-1273h-3p",0.277661404694914,0.831659728856061,-0.648342772179567,0.942554188179476,FALSE,FALSE,TRUE
"hsa-miR-1277-5p:hsa-mir-1277","hsa-miR-1277-5p",-1.58180186988933,0.107042598245326,-0.905838992381466,0.913328740245061,FALSE,TRUE,FALSE
"hsa-miR-128-3p:hsa-mir-128-1","hsa-miR-128-3p",0.120876335049744,0.744769865823926,0.152138272295039,0.951185018782856,FALSE,FALSE,FALSE
"hsa-miR-129-2-3p:hsa-mir-129-2","hsa-miR-129-2-3p",-0.309220420179763,0.860220489080883,0.520914151643606,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-129-5p:hsa-mir-129-1","hsa-miR-129-5p",0.0700476035134756,0.962130730956057,0.7000873471949,0.951185018782856,FALSE,FALSE,FALSE
"hsa-miR-1292-5p:hsa-mir-1292","hsa-miR-1292-5p",-0.11293583668137,0.889422147057613,-0.214237631645301,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-1293:hsa-mir-1293","hsa-miR-1293",-1.29283702109177,0.285338347819968,1.08198747652562,0.827381577615971,FALSE,TRUE,TRUE
"hsa-miR-1294:hsa-mir-1294","hsa-miR-1294",-0.286237818698035,0.847884598527618,-0.934952223121012,0.913328740245061,FALSE,FALSE,FALSE
"hsa-miR-1295a:hsa-mir-1295a","hsa-miR-1295a",-0.852559779611653,0.40731296285404,-1.08347295988246,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-1296-5p:hsa-mir-1296","hsa-miR-1296-5p",0.297816252305968,0.50454825367577,0.399852073764753,0.901138084350497,FALSE,FALSE,FALSE
"hsa-miR-1297:hsa-mir-1297","hsa-miR-1297",-0.166942148294946,0.831807390564558,-0.262573770563208,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-1298-5p:hsa-mir-1298","hsa-miR-1298-5p",-0.386023801392858,0.796924027558316,1.6605422963283,0.633528608313097,FALSE,FALSE,TRUE
